# AI(FLOPs/Byte)	GFlops/s	Cores	AI	GFlops
0.203211	7.250754	1	0.203211	7.250754
0.203127	11.914441	2	0.203127	11.914441
0.202771	15.163613	4	0.202771	15.163613
0.201210	15.160564	8	0.201210	15.160564
0.192057	13.884675	16	0.192057	13.884675
0.170571	11.870583	32	0.170571	11.870583
