# AI(FLOPs/Byte)	GFlops/s	Cores	AI	GFlops
0.124085	3.756024	1	0.124085	3.756024
0.122815	7.135595	2	0.122815	7.135595
0.124131	14.251793	4	0.124131	14.251793
0.124090	28.484941	8	0.124090	28.484941
0.124620	47.472223	16	0.124620	47.472223
0.147521	47.431246	32	0.147521	47.431246
