# AI(FLOPs/Byte)	GFlops/s	Cores	AI	GFlops
0.123135	7.830337	1	0.123135	7.830337
0.123021	14.326599	2	0.123021	14.326599
0.123111	26.469440	4	0.123111	26.469440
0.123064	43.421809	8	0.123064	43.421809
0.122617	59.042385	16	0.122617	59.042385
0.121959	67.375041	32	0.121959	67.375041
