# cores_used	frontend_bound	bad_speculation	Retiring	backend_bound	smt_contention
1	1.45053	0.245399	33.0189	65.3987	0.054028
2	1.85923	0.091049	29.0195	68.8488	0.086729
4	2.0991	0.099926	18.7614	78.8285	0.147158
8	2.45659	0.03725	9.56439	87.664	0.259129
16	2.15854	0.033685	4.84116	92.6584	0.353907
32	1.91258	0.015054	2.68661	85.8315	9.74965
