# AI(FLOPs/Byte)	GFlops/s	Cores	AI	GFlops
0.066679	0.889044	1	0.066679	0.889044
0.066723	1.777504	2	0.066723	1.777504
0.066668	2.664107	4	0.066668	2.664107
0.066397	5.292593	8	0.066397	5.292593
0.065480	5.317452	16	0.065480	5.317452
0.064406	5.300730	32	0.064406	5.300730
