# cores_used	frontend_bound	bad_speculation	Retiring	backend_bound	smt_contention
1	6.91424	0.547099	31.6485	59.5475	1.31662
2	6.38806	0.531674	30.2638	62.0919	0.736096
4	5.69116	0.528719	26.9976	66.561	0.214259
8	3.7604	0.319437	16.33	79.249	0.363989
16	2.13464	0.204792	8.97646	88.0644	0.643857
32	3.19579	0.084555	4.40583	79.0322	13.3195
