# AI(FLOPs/Byte)	GFlops/s	Cores	AI	GFlops
0.076823	2.418441	1	0.076823	2.418441
0.076543	4.266140	2	0.076543	4.266140
0.076494	7.251624	4	0.076494	7.251624
0.076381	9.067198	8	0.076381	9.067198
0.075626	9.661940	16	0.075626	9.661940
0.073105	9.033278	32	0.073105	9.033278
