# cores_used	frontend_bound	bad_speculation	Retiring	backend_bound	smt_contention
1	4.75473	13.1507	37.2207	44.8352	0.028121
2	4.5008	10.8325	27.6514	56.7786	0.216528
4	4.67297	11.7476	31.6413	51.5044	0.419104
8	4.86215	13.0148	36.9485	44.7703	0.358398
16	4.97173	12.7049	36.5928	44.4538	1.25968
32	6.25258	4.22694	26.071	30.6743	32.8457
