# cores_used	frontend_bound	bad_speculation	Retiring	backend_bound	smt_contention
1	4.46903	0.187377	21.203	74.0383	0.099702
2	4.29796	0.14504	20.8018	74.5351	0.242317
4	4.13462	0.193874	19.7546	75.7387	0.206453
8	3.5423	0.166255	16.7905	79.1044	0.321123
16	2.9238	0.151849	12.696	83.3384	0.910977
32	5.05853	0.021139	8.24234	69.1138	17.731
