# core_GHz	uncore_GHz	duration_ms
0.545000	0.000000	23204.059982
0.683000	0.000000	19162.132876
0.883000	0.000000	15135.945448
1.083000	0.000000	12104.498727
1.283000	0.000000	10080.806828
1.483000	0.000000	8065.948601
1.683000	0.000000	6050.734532
1.883000	0.000000	7062.074501
2.083000	0.000000	6045.921117
2.283000	0.000000	5036.635973
2.483000	0.000000	5038.752846
2.683000	0.000000	4034.537469
2.883000	0.000000	4038.637480
3.083000	0.000000	4036.655455
3.283000	0.000000	4041.087437
3.483000	0.000000	4035.544007
3.683000	0.000000	4039.783526
3.883000	0.000000	3030.214452
4.083000	0.000000	3034.604493
4.283000	0.000000	3031.337929
4.483000	0.000000	3025.514459
4.683000	0.000000	3019.537465
4.883000	0.000000	3023.899575
5.083000	0.000000	3022.055924
5.283000	0.000000	3026.608991
5.483000	0.000000	3029.373527
5.683000	0.000000	3025.829974
5.883000	0.000000	3032.764469
